,tick,liquidity_net,liquidity_gross,liquidity_shape,liquidity,price,virtual_ratio,virtual_ratio_upper,ratio,ratio_upper,token0_underlying_virtual,token1_underlying_virtual,token0_underlying,token1_underlying
377,75450,0,0,-208605512441391706216733,144791120769877306771088,1890.549440656756063179087602,1890.549440656756063179087602,1892.440841071566753964141269,1890.549440656756063179087602,1892.440841071566753964141269,0,3148421088579272332664.174030,0,3148.42108857927233266417403
378,75460,6473143183299329023,6473143183299329023,-208599039298208406887710,144797593913060606100111,1892.440841071566753964141269,1892.440841071566753964141269,1894.334133738149449878743562,1892.440841071566753964141269,1894.334133738149449878743562,0,3150136440123287479856.637081,0,3150.136440123287479856637081
379,75470,-14303368640618404103,14303368640618404107,-208613342666849025291813,144783290544419987696008,1894.334133738149449878743562,1894.334133738149449878743562,1896.229320549607663335381036,1894.334133738149449878743562,1896.229320549607663335381036,0,3151400491584971852067.107063,0,3151.400491584971852067107063
380,75480,-308523842980841512610,308523842980841512610,-208921866509829866804423,144474766701439146183398,1896.229320549607663335381036,1896.229320549607663335381036,1898.126403400938862382745498,1896.229320549607663335381036,1898.126403400938862382745498,0,3146257717664755483474.709832,0,3146.257717664755483474709832
381,75490,7175014869968247,7175014869968247,-208921859334814996836176,144474773876454016151645,1898.126403400938862382745498,1898.126403400938862382745498,1900.025384189036365513877565,1898.126403400938862382745498,1900.025384189036365513877565,0,3147831317510789939495.985611,0,3147.831317510789939495985611
382,75500,-457792864421339375984,491883425584733731792,-209379652199236336212160,144016981012032676775661,1900.025384189036365513877565,1900.025384189036365513877565,1901.926264812691238369971253,1900.025384189036365513877565,1901.926264812691238369971253,0,3139426121483935949440.709589,0,3139.426121483935949440709589
383,75510,1792030010008405258095,1792030010008405681265,-207587622189227930954065,145809011022041082033756,1901.926264812691238369971253,1901.926264812691238369971253,1903.829047172594192341736121,1901.926264812691238369971253,1903.829047172594192341736121,0,3180080146252231067696.794808,0,3180.080146252231067696794808
384,75520,-8725584312426545142,8725584312426545142,-207596347773540357499207,145800285437728655488614,1903.829047172594192341736121,1903.829047172594192341736121,1905.733733171337485070215364,1903.829047172594192341736121,1905.733733171337485070215364,0,3181480105061004978163.211648,0,3181.480105061004978163211648
385,75530,5277595087209458498,5277595087209458498,-207591070178453148040709,145805563032815864947112,1905.733733171337485070215364,1905.733733171337485070215364,1907.640324713416822848960192,1905.733733171337485070215364,1907.640324713416822848960192,0,3183186382277215534242.590080,0,3183.18638227721553424259008
386,75540,651947479510683307917,651947479510683307917,-206939122698942464732792,146457510512326548255029,1907.640324713416822848960192,1907.640324713416822848960192,1909.548823705233264929462680,1907.640324713416822848960192,1909.548823705233264929462680,0,3199018547333626297211.672512,0,3199.018547333626297211672512
387,75550,-582735680440626846955,796726345171100753737,-207521858379383091579747,145874774831885921408074,1909.548823705233264929462680,1909.548823705233264929462680,1911.459232055095129731751227,1909.548823705233264929462680,1911.459232055095129731751227,0,3187883525860146394992.431195,0,3187.883525860146394992431195
